Frequency (Hz),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Phase (°),Trace 3: Impedance: Ls (H),Trace 4: Impedance: Rs (Ω),Trace 5: Impedance: Q
100,0.345744768481776,0.171944371738468,1.65135493794485E-06,0.345743211598834,0.00300100442610354
106.662142,0.345920177568334,0.213460932124906,1.92300534039668E-06,0.345917776873624,0.00372561332722494
113.768125,0.346044104531308,0.223295494713282,1.88663207904949E-06,0.346041476590579,0.00389726131881045
121.347519,0.345961680201001,0.177737555994716,1.40758005036091E-06,0.345960015597526,0.00310211550717536
129.431862,0.345765530759855,0.222764168357785,1.65303572051774E-06,0.345762917415975,0.00388798778398899
138.054796,0.345855284418981,0.250819403085957,1.74542084900353E-06,0.345851970508889,0.0043776523756256
147.252203,0.345970306472509,0.27519255265451,1.79601323031554E-06,0.345966315891933,0.00480305305466497
157.062353,0.345769038300755,0.280792464065111,1.71709850983976E-06,0.345764886075857,0.00490079224751692
167.52607,0.34585805691743,0.297375719041321,1.70536188123815E-06,0.345853398561462,0.00519023201770629
178.686894,0.345768685994104,0.289300240449751,1.55502511674333E-06,0.345764278344464,0.0050492846329703
190.591268,0.345726307366856,0.398025115540562,2.0055519286315E-06,0.345717965247972,0.00694696052261931
203.288729,0.345924691875536,0.388030277097525,1.83412130433074E-06,0.345916758904473,0.0067725094745651
216.832112,0.345947224180213,0.352931044367844,1.56412286349517E-06,0.34594066102101,0.00615988666561222
231.277774,0.345977164328438,0.392126389700503,1.62942252587715E-06,0.345969061761625,0.00684400343981006
246.685828,0.345923065992444,0.465351874283131,1.81263145983395E-06,0.345911656539841,0.00812210098050387
263.120387,0.345953556499824,0.460504126342219,1.68185925678001E-06,0.345942382536197,0.00803748629403222
280.64984,0.346147592618166,0.501988515303173,1.71981701338116E-06,0.346134307334264,0.00876157658370968
299.34713,0.345941485323348,0.480171045292945,1.54140204483433E-06,0.345929336987778,0.00838076191850369
319.290061,0.345975369483528,0.554594182831847,1.66926700604295E-06,0.345959161941729,0.00967979681319968
340.561617,0.346185128454942,0.614313935303869,1.73457168844473E-06,0.346165230441465,0.0107222116795593
363.250315,0.346010273106064,0.716191735239674,1.8949531986773E-06,0.34598324182128,0.0125005549228391
387.450565,0.346123887159402,0.699114985528963,1.73480477045208E-06,0.346098121091541,0.0122024639428839
413.263071,0.346176683862822,0.71906618714489,1.67311649399914E-06,0.346149422059069,0.0125507314438325
440.795243,0.345992407197735,0.768768945565118,1.67613875997913E-06,0.345961263049654,0.0134183545351295
470.161647,0.346182297616996,0.818305656039202,1.67361648340446E-06,0.346146991226586,0.0142830991503994
501.484482,0.346277351076796,0.91549777413659,1.75591261812294E-06,0.346233147829851,0.0159798104163246
534.894089,0.346522721715436,1.00073179582325,1.80076497351398E-06,0.346469867356093,0.0174678410690737
